"","x"
"959","TUFT1"
"960","SNX27"
"961","AL589765.7"
"962","MRPL9"
"963","OAZ3"
"964","AL589765.4"
"965","TDRKH"
"966","TDRKH-AS1"
"967","RORC"
"968","C2CD4D"
"969","AL450992.2"
"970","THEM4"
"971","S100A10"
"972","S100A11"
"973","TCHH"
"974","S100A9"
"975","S100A6"
"976","S100A5"
"977","S100A4"
"978","S100A2"
"979","S100A16"
"980","S100A13"
"981","S100A1"
"982","AL162258.2"
"983","CHTOP"
"984","SNAPIN"
"985","ILF2"
"986","INTS3"
"987","SLC27A3"
"988","GATAD2B"
"989","AL358472.5"
"990","DENND4B"
"991","CRTC2"
"992","SLC39A1"
"993","CREB3L4"
"994","JTB"
"995","AL358472.2"
"996","RAB13"
"997","RPS27"
"998","NUP210L"
"999","TPM3"
"1000","C1orf43"
"1001","UBAP2L"
"1002","HAX1"
"1003","ATP8B2"
"1004","IL6R-AS1"
"1005","IL6R"
"1006","UBE2Q1"
"1007","ADAR"
"1008","PMVK"
"1009","AL451085.1"
"1010","PBXIP1"
"1011","PYGO2"
"1012","AL451085.2"
"1013","SHC1"
"1014","CKS1B"
"1015","FLAD1"
"1016","ZBTB7B"
"1017","ADAM15"
"1018","EFNA4"
"1019","EFNA3"
"1020","EFNA1"
"1021","SLC50A1"
"1022","DPM3"
"1023","KRTCAP2"
"1024","TRIM46"
"1025","MUC1"
"1026","AC234582.1"
"1027","THBS3"
"1028","MTX1"
"1029","GBA"
"1030","FAM189B"
"1031","SCAMP3"
"1032","CLK2"
"1033","HCN3"
"1034","FDPS"
"1035","RUSC1-AS1"
"1036","RUSC1"
"1037","ASH1L"
"1038","ASH1L-AS1"
"1039","MSTO1"
"1040","YY1AP1"
"1041","DAP3"
"1042","GON4L"
"1043","SYT11"
"1044","RIT1"
"1045","KHDC4"
"1046","ARHGEF2"
"1047","SSR2"
"1048","UBQLN4"
"1049","LAMTOR2"
"1050","RAB25"
"1051","LMNA"
"1052","SEMA4A"
"1053","SLC25A44"
"1054","PMF1-BGLAP"
"1055","PMF1"
"1056","BGLAP"
"1057","PAQR6"
"1058","SMG5"
"1059","TMEM79"
"1060","GLMP"
"1061","CCT3"
"1062","TSACC"
"1063","C1orf61"
"1064","AL139412.1"
"1065","MEF2D"
"1066","TTC24"
"1067","NAXE"
"1068","GPATCH4"
"1069","BCAN"
"1070","NES"
"1071","CRABP2"
"1072","ISG20L2"
"1073","RRNAD1"
"1074","MRPL24"
"1075","HDGF"
"1076","PRCC"
"1077","SH2D2A"
"1078","NTRK1"
"1079","ARHGEF11"
"1080","ETV3"
"1081","FCRL3"
"1082","MNDA"
"1083","PYHIN1"
"1084","IFI16"
"1085","AIM2"
"1086","DUSP23"
"1087","FCRL6"
"1088","SLAMF8"
"1089","VSIG8"
"1090","CFAP45"
"1091","TAGLN2"
"1092","KCNJ10"
"1093","PIGM"
"1094","IGSF8"
"1095","AL121987.2"
"1096","PEA15"
"1097","DCAF8"
"1098","AL139011.1"
"1099","PEX19"
"1100","COPA"
"1101","NCSTN"
"1102","NHLH1"
"1103","VANGL2"
"1104","SLAMF6"
"1105","CD84"
"1106","SLAMF1"
"1107","AL121985.1"
"1108","CD48"
"1109","SLAMF7"
"1110","LY9"
"1111","CD244"
"1112","F11R"
"1113","AL591806.3"
"1114","TSTD1"
"1115","USF1"
"1116","ARHGAP30"
"1117","PFDN2"
"1118","NIT1"
"1119","DEDD"
"1120","UFC1"
"1121","AL590714.1"
"1122","USP21"
"1123","PPOX"
"1124","B4GALT3"
"1125","ADAMTS4"
"1126","NDUFS2"
"1127","FCER1G"
"1128","TOMM40L"
"1129","MPZ"
"1130","SDHC"
"1131","AL592295.4"
"1132","FCGR2A"
"1133","HSPA6"
"1134","FCGR3A"
"1135","FCGR3B"
"1136","FCGR2B"
"1137","FCRLB"
"1138","DUSP12"
"1139","AL359541.1"
"1140","ATF6"
"1141","NOS1AP"
"1142","SH2D1B"
"1143","UHMK1"
"1144","AL596325.1"
"1145","UAP1"
"1146","DDR2"
"1147","HSD17B7"
"1148","RGS5"
"1149","NUF2"
"1150","PBX1"
"1151","AL356441.1"
"1152","MGST3"
"1153","ALDH9A1"
"1154","TMCO1"
"1155","AL451074.2"
"1156","UCK2"
"1157","POGK"
"1158","TADA1"
"1159","ILDR2"
"1160","GPA33"
"1161","AL451050.2"
"1162","POU2F1"
"1163","CD247"
"1164","AL359962.2"
"1165","CREG1"
"1166","AL031733.2"
"1167","RCSD1"
"1168","MPZL1"
"1169","MPC2"
"1170","DCAF6"
"1171","GPR161"
"1172","TIPRL"
"1173","SFT2D2"
"1174","TBX19"
"1175","XCL2"
"1176","XCL1"
"1177","ATP1B1"
"1178","NME7"
"1179","BLZF1"
"1180","SLC19A2"
"1181","F5"
"1182","C1orf112"
"1183","SELL"
"1184","METTL18"
"1185","SCYL3"
"1186","KIFAP3"
"1187","GORAB"
"1188","PRRX1"
"1189","FMO4"
"1190","PRRC2C"
"1191","VAMP4"
"1192","METTL13"
"1193","DNM3"
"1194","PIGC"
"1195","SUCO"
"1196","FASLG"
"1197","AL031599.1"
"1198","TNFSF4"
"1199","AL645568.1"
"1200","PRDX6"
"1201","KLHL20"
"1202","CENPL"
"1203","DARS2"
"1204","GAS5-AS1"
"1205","ZBTB37"
"1206","RC3H1"
"1207","AL121983.1"
"1208","AL121983.2"
"1209","RABGAP1L"
"1210","CACYBP"
"1211","MRPS14"
"1212","KIAA0040"
"1213","AL513329.1"
"1214","COP1"
"1215","AL359265.3"
"1216","RALGPS2"
"1217","FAM20B"
"1218","TOR3A"
"1219","ABL2"
"1220","SOAT1"
"1221","TOR1AIP2"
"1222","AL353708.3"
"1223","TOR1AIP1"
"1224","AL353708.1"
"1225","CEP350"
"1226","QSOX1"
"1227","ACBD6"
"1228","XPR1"
"1229","STX6"
"1230","MR1"
"1231","IER5"
"1232","GLUL"
"1233","RNASEL"
"1234","RGS16"
"1235","LINC01686"
"1236","NPL"
"1237","DHX9"
"1238","LAMC1"
"1239","SMG7"
"1240","NCF2"
"1241","ARPC5"
"1242","RGL1"
"1243","COLGALT2"
"1244","TSEN15"
"1245","C1orf21"
"1246","EDEM3"
"1247","FAM129A"
"1248","RNF2"
"1249","TRMT1L"
"1250","SWT1"
"1251","IVNS1ABP"
"1252","AL078644.2"
"1253","TPR"
